Week,SKU,Region,Demand,Global Status,DNA Collection ,DNA Category ,DNA Sub Category ,DNA Metal ,DNA Material ,DNA Stones ,DNA Color ,DNA Size ,Date Item Introduced,Date Item Discontinue,Design Variation,Campaign Id,Theme Id,Theme Description,Year,Week_Number,Seasonality,Evolving State,Buckets
2019-W1,9557,0,101.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,1,1,1,2
2019-W10,9557,0,65.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,10,0,1,2
2019-W11,9557,0,54.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,11,0,1,2
2019-W12,9557,0,68.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,12,0,1,2
2019-W13,9557,0,79.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,13,0,1,2
2019-W14,9557,0,79.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,14,0,1,2
2019-W15,9557,0,79.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,15,0,1,2
2019-W16,9557,0,61.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,16,0,1,2
2019-W17,9557,0,80.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,17,1,1,2
2019-W18,9557,0,113.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,18,1,1,2
2019-W19,9557,0,112.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,19,1,1,2
2019-W2,9557,0,87.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,2,0,1,2
2019-W20,9557,0,69.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,20,1,1,2
2019-W21,9557,0,56.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,21,0,1,2
2019-W22,9557,0,81.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,22,0,1,2
